,site,name,domain,latitude,longitude,timezone,interval,sens,installationDate,counter
0,100005020,Manhattan Bridge 2012 Test Bike Counter,New York City DOT,40.69981,-73.98589,(UTC-05:00) US/Eastern;DST,15,0,2012-08-31T00:00:00-0400,
1,100009424,2nd Avenue - 26th St S,New York City DOT,40.73971,-73.97954,(UTC-05:00) US/Eastern;DST,15,0,2015-05-22T00:00:00-0400,
2,100009425,Prospect Park West ,New York City DOT,40.671288458102666,-73.97138165085187,(UTC-05:00) US/Eastern;DST,15,0,2016-11-07T00:00:00-0500,Y2H13094304
3,100009426,Manhattan Bridge Ped Path,New York City DOT,40.714573,-73.99495,(UTC-05:00) US/Eastern;DST,15,0,2013-12-04T00:00:00-0500,Y2H13074107
4,100009427,Williamsburg Bridge Bike Path,New York City DOT,40.71053,-73.96145,(UTC-05:00) US/Eastern;DST,15,0,2013-12-03T00:00:00-0500,Y2H13074108
5,100009428,Ed Koch Queensboro Bridge Shared Path,New York City DOT,40.751038,-73.94082,(UTC-05:00) US/Eastern;DST,15,0,2013-12-04T00:00:00-0500,Y2H19111445
6,100009429,Manhattan Bridge 2013 to 2018 Bike Counter,New York City DOT,40.699768,-73.98582,(UTC-05:00) US/Eastern;DST,15,0,2013-12-03T00:00:00-0500,
7,100010017,Staten Island Ferry,New York City DOT,40.643387,-74.072075,(UTC-05:00) US/Eastern;DST,15,0,2016-03-31T00:00:00-0400,Y2H13094300
8,100010018,Pulaski Bridge ,New York City DOT,40.742563,-73.9514924,(UTC-05:00) US/Eastern;DST,15,0,2017-06-24T00:00:00-0400,Y2H13094301
9,100010019,Kent Ave btw North 8th St and North 9th St,New York City DOT,40.720959193834354,-73.9609303061573,(UTC-05:00) US/Eastern;DST,15,0,2016-11-22T00:00:00-0500,Y2H13094302
10,100010020,1st Avenue - 26th St N - Interference testing,New York City DOT,40.73883,-73.977165,(UTC-05:00) US/Eastern;DST,15,0,1900-01-01T00:00:00-0500,Y2H18044984
11,100010022,Brooklyn Bridge Bike Path,New York City DOT,40.709274,-74.00099,(UTC-05:00) US/Eastern;DST,15,0,2013-12-19T00:00:00-0500,Y2H13074106
12,100039064,Forsyth Plaza,New York City DOT,40.71562304644138,-73.99474407997337,(UTC-05:00) US/Eastern;DST,15,0,2018-01-23T00:00:00-0500,
13,100047029,Manhattan Bridge Display Bike Counter,New York City DOT,40.7156,-73.99475,(UTC-05:00) US/Eastern;DST,15,0,2018-06-01T00:00:00-0400,Y2H17062567
14,100048744,Manhattan Bridge Interference Calibration 2018 Bike Counter,New York City DOT,0.0,0.0,(UTC-05:00) US/Eastern;DST,15,0,1900-01-01T00:00:00-0500,Y2H13074109
15,100051865,Manhattan Bridge 2012 to 2019 Bike Counter,New York City DOT,40.69981,-73.98589,(UTC-05:00) US/Eastern;DST,15,0,2012-08-31T00:00:00-0400,
16,100055175,Manhattan Bridge Interference Calibration 2019 Bike Counter,New York City DOT,0.0,0.0,(UTC-05:00) US/Eastern;DST,15,0,1900-01-01T00:00:00-0500,Y2H13074105
17,100057316,8th Ave at 50th St.,New York City DOT,40.76234843823216,-73.98612032425785,(UTC-05:00) US/Eastern;DST,15,0,2018-06-14T00:00:00-0400,Y2H18055363
18,100057318,Broadway at 50th St,New York City DOT,40.76138,-73.98408,(UTC-05:00) US/Eastern;DST,15,0,2019-06-14T00:00:00-0400,Y2H18055362
19,100057319,Amsterdam Ave at 86th St.,New York City DOT,40.787745,-73.975021,(UTC-05:00) US/Eastern;DST,15,0,2019-10-24T00:00:00-0400,Y2H18055357
20,100057320,Columbus Ave at 86th St.,New York City DOT,40.787745,-73.975021,(UTC-05:00) US/Eastern;DST,15,0,2019-10-24T00:00:00-0400,Y2H18055356
21,100058279,Kent Ave btw South 6th St. and Broadway,New York City DOT,40.711282432675226,-73.96838606913825,(UTC-05:00) US/Eastern;DST,15,0,2014-08-14T00:00:00-0400,
22,100062893,Manhattan Bridge Bike Comprehensive,New York City DOT,40.7156,-73.99475,(UTC-05:00) US/Eastern;DST,15,0,2012-08-31T00:00:00-0400,Y2H17062567
